ID: 713; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 849; Comp. Time(ms): 12245;TAT (ms): 11396
ID: 60; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 856; Comp. Time(ms): 12298;TAT (ms): 11442
ID: 496; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1062; Comp. Time(ms): 12876;TAT (ms): 11814
ID: 28; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 419; Comp. Time(ms): 13410;TAT (ms): 12991
ID: 537; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1392; Comp. Time(ms): 14008;TAT (ms): 12616
ID: 833; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1542; Comp. Time(ms): 14433;TAT (ms): 12891
ID: 641; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1573; Comp. Time(ms): 14531;TAT (ms): 12958
ID: 411; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1630; Comp. Time(ms): 14671;TAT (ms): 13041
ID: 947; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 524; Comp. Time(ms): 14820;TAT (ms): 14296
ID: 194; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1797; Comp. Time(ms): 15082;TAT (ms): 13285
ID: 97; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 264; Comp. Time(ms): 15402;TAT (ms): 15138
ID: 792; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1878; Comp. Time(ms): 15471;TAT (ms): 13593
ID: 581; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1909; Comp. Time(ms): 15584;TAT (ms): 13675
ID: 662; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 1920; Comp. Time(ms): 15648;TAT (ms): 13728
ID: 698; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 791; Comp. Time(ms): 16345;TAT (ms): 15554
ID: 909; Orig. Level: 4; Final Level: 4; Arr. Time(ms): 338; Comp. Time(ms): 16543;TAT (ms): 16205
